passages,questions
"some transverse struts connecting the main temple to this foundation, creating the image of a rectangular grid, were added during hellenistic times in order to strengthen the building, which was apparently in danger of collapsing",Have there been any architectural augmentations integrated into the temple?
"some transverse struts connecting the main temple to this foundation, creating the image of a rectangular grid, were added during hellenistic times in order to strengthen the building, which was apparently in danger of collapsing",Can you provide insight into whether there are any added parts to the temple's layout?
"some transverse struts connecting the main temple to this foundation, creating the image of a rectangular grid, were added during hellenistic times in order to strengthen the building, which was apparently in danger of collapsing",What was added to the main temple?
the temple stood on a mound supported by strong retaining walls,Upon what foundation was the temple situated?
the temple stood on a mound supported by strong retaining walls,What served as the base for the temple's placement?
the temple stood on a mound supported by strong retaining walls,On what surface was the temple erected?
the temple stood on a mound supported by strong retaining walls,What was the supporting platform for the temple's location?
the temple stood on a mound supported by strong retaining walls,What constituted the ground on which the temple stood?
the temple stood on a mound supported by strong retaining walls,Can you describe the specific ground where the temple was positioned?
the temple stood on a mound supported by strong retaining walls,What kind of terrain provided the foundation for the temple's placement?
the temple stood on a mound supported by strong retaining walls,On what type of land did the temple find its position?
the temple stood on a mound supported by strong retaining walls,Can you provide details about the specific ground the temple was set on?
the temple stood on a mound supported by strong retaining walls,What was the physical substrate that the temple was built upon?
the temple stood on a mound supported by strong retaining walls,Where did the temple stood?
"probably built in the early archaic years (seventh century bc), it was destroyed at the end of the 3rd century bc. from an earthquake",During which time period was the construction of the building undertaken?
"probably built in the early archaic years (seventh century bc), it was destroyed at the end of the 3rd century bc. from an earthquake",In what chronological context was the building's creation initiated?
"probably built in the early archaic years (seventh century bc), it was destroyed at the end of the 3rd century bc. from an earthquake",At what point in history was the building originally constructed?
"probably built in the early archaic years (seventh century bc), it was destroyed at the end of the 3rd century bc. from an earthquake",When was the building brought into existence?
"probably built in the early archaic years (seventh century bc), it was destroyed at the end of the 3rd century bc. from an earthquake",During which historical era did the creation of the building take place?
"probably built in the early archaic years (seventh century bc), it was destroyed at the end of the 3rd century bc. from an earthquake",What event led to the destruction of this building?
"probably built in the early archaic years (seventh century bc), it was destroyed at the end of the 3rd century bc. from an earthquake",Due to what circumstances did the building meet its demise?
"probably built in the early archaic years (seventh century bc), it was destroyed at the end of the 3rd century bc. from an earthquake",From what source did the destruction of the building arise?
"probably built in the early archaic years (seventh century bc), it was destroyed at the end of the 3rd century bc. from an earthquake",What factor contributed to the downfall of this building?
"probably built in the early archaic years (seventh century bc), it was destroyed at the end of the 3rd century bc. from an earthquake",What caused the building to be destroyed?
"probably built in the early archaic years (seventh century bc), it was destroyed at the end of the 3rd century bc. from an earthquake",When it was probably build?
"then only the n house is repaired and the earlier tributes were placed in a specially designed shelter, measuring three by  two meter, with the tributes placed in relative order on shelves or boxes, or hung on the walls",Where the earlier tributes are placed?
"based on the available data, an attempt has been made to restore both the first and second phases of use of the sanctuary with plans drawn up by the archaeologist-designer yiannis nakas, under the guidance of alexandros mazarakis ainiana",Can we make any estimations based on findings?
"gold, silver, copper, bone jewelry such as earrings, rings, bracelets, buckles, forks, plates, necklace beads and various types of periaptas were found inside the shelter of the temple of kythnos",What archaeological discoveries were made within the temple?
"gold, silver, copper, bone jewelry such as earrings, rings, bracelets, buckles, forks, plates, necklace beads and various types of periaptas were found inside the shelter of the temple of kythnos",What were the findings unearthed from within the temple?
"gold, silver, copper, bone jewelry such as earrings, rings, bracelets, buckles, forks, plates, necklace beads and various types of periaptas were found inside the shelter of the temple of kythnos",What kind of artifacts were discovered inside the temple?
"gold, silver, copper, bone jewelry such as earrings, rings, bracelets, buckles, forks, plates, necklace beads and various types of periaptas were found inside the shelter of the temple of kythnos",What objects were recovered during the excavation of the temple?
"gold, silver, copper, bone jewelry such as earrings, rings, bracelets, buckles, forks, plates, necklace beads and various types of periaptas were found inside the shelter of the temple of kythnos",What items were present among the temple's archaeological findings?
"gold, silver, copper, bone jewelry such as earrings, rings, bracelets, buckles, forks, plates, necklace beads and various types of periaptas were found inside the shelter of the temple of kythnos",What historical remnants were uncovered within the confines of the temple?
"gold, silver, copper, bone jewelry such as earrings, rings, bracelets, buckles, forks, plates, necklace beads and various types of periaptas were found inside the shelter of the temple of kythnos",What sort of relics were found inside the temple's structure?
"gold, silver, copper, bone jewelry such as earrings, rings, bracelets, buckles, forks, plates, necklace beads and various types of periaptas were found inside the shelter of the temple of kythnos",What artifacts were detected within the temple's premises?
"gold, silver, copper, bone jewelry such as earrings, rings, bracelets, buckles, forks, plates, necklace beads and various types of periaptas were found inside the shelter of the temple of kythnos",What valuable items were retrieved from the temple during excavation?
"gold, silver, copper, bone jewelry such as earrings, rings, bracelets, buckles, forks, plates, necklace beads and various types of periaptas were found inside the shelter of the temple of kythnos",What archaeological treasures were identified within the temple's boundaries?
"gold, silver, copper, bone jewelry such as earrings, rings, bracelets, buckles, forks, plates, necklace beads and various types of periaptas were found inside the shelter of the temple of kythnos",Where there any findings?
"many of these are of crystal, vitreous, faience, semi-precious stones, electrum (amber) and coral",What are many of these?
"among the finds are carved ivory discs and incised tiles, egyptian scarabs, phoenician bearded heads, throne-type female clay figurines seated figure and numerous intact decorated vases (most of them ornamental) imported from various regions of the aegean area",What items are part of the discovered artifacts?
"among the finds are carved ivory discs and incised tiles, egyptian scarabs, phoenician bearded heads, throne-type female clay figurines seated figure and numerous intact decorated vases (most of them ornamental) imported from various regions of the aegean area",What can be counted among the findings?
"among the finds are carved ivory discs and incised tiles, egyptian scarabs, phoenician bearded heads, throne-type female clay figurines seated figure and numerous intact decorated vases (most of them ornamental) imported from various regions of the aegean area",Which objects are included in the collection of discoveries?
"among the finds are carved ivory discs and incised tiles, egyptian scarabs, phoenician bearded heads, throne-type female clay figurines seated figure and numerous intact decorated vases (most of them ornamental) imported from various regions of the aegean area",What has been identified within the findings?
"among the finds are carved ivory discs and incised tiles, egyptian scarabs, phoenician bearded heads, throne-type female clay figurines seated figure and numerous intact decorated vases (most of them ornamental) imported from various regions of the aegean area",What sort of items are present among the unearthed artifacts?
"among the finds are carved ivory discs and incised tiles, egyptian scarabs, phoenician bearded heads, throne-type female clay figurines seated figure and numerous intact decorated vases (most of them ornamental) imported from various regions of the aegean area",What is contained within the assemblage of findings?
"among the finds are carved ivory discs and incised tiles, egyptian scarabs, phoenician bearded heads, throne-type female clay figurines seated figure and numerous intact decorated vases (most of them ornamental) imported from various regions of the aegean area","Among the discovered objects, what can be listed?"
"among the finds are carved ivory discs and incised tiles, egyptian scarabs, phoenician bearded heads, throne-type female clay figurines seated figure and numerous intact decorated vases (most of them ornamental) imported from various regions of the aegean area",What forms a part of the findings from the excavation?
"among the finds are carved ivory discs and incised tiles, egyptian scarabs, phoenician bearded heads, throne-type female clay figurines seated figure and numerous intact decorated vases (most of them ornamental) imported from various regions of the aegean area",Which items are among the uncovered archaeological pieces?
"among the finds are carved ivory discs and incised tiles, egyptian scarabs, phoenician bearded heads, throne-type female clay figurines seated figure and numerous intact decorated vases (most of them ornamental) imported from various regions of the aegean area",What can be categorized as part of the findings?
"among the finds are carved ivory discs and incised tiles, egyptian scarabs, phoenician bearded heads, throne-type female clay figurines seated figure and numerous intact decorated vases (most of them ornamental) imported from various regions of the aegean area",What is among the finds?
"hundreds of shells were also found, as well as a few bones of small animals (among them several ankles - guts) and a few of birds",What additional discoveries were made?
"hundreds of shells were also found, as well as a few bones of small animals (among them several ankles - guts) and a few of birds","Apart from the mentioned items, what else was unearthed?"
"hundreds of shells were also found, as well as a few bones of small animals (among them several ankles - guts) and a few of birds",What other artifacts were found among the findings?
"hundreds of shells were also found, as well as a few bones of small animals (among them several ankles - guts) and a few of birds","Besides the mentioned objects, what else was identified?"
"hundreds of shells were also found, as well as a few bones of small animals (among them several ankles - guts) and a few of birds",What else came to light during the excavation?
"hundreds of shells were also found, as well as a few bones of small animals (among them several ankles - guts) and a few of birds","In addition to the mentioned items, what else was part of the discoveries?"
"hundreds of shells were also found, as well as a few bones of small animals (among them several ankles - guts) and a few of birds","Alongside the previously mentioned objects, what else was present among the findings?"
"hundreds of shells were also found, as well as a few bones of small animals (among them several ankles - guts) and a few of birds",What else was included in the collection of uncovered artifacts?
"hundreds of shells were also found, as well as a few bones of small animals (among them several ankles - guts) and a few of birds",What other items were among the findings?
"hundreds of shells were also found, as well as a few bones of small animals (among them several ankles - guts) and a few of birds",What other articles were found along with the mentioned ones?
"hundreds of shells were also found, as well as a few bones of small animals (among them several ankles - guts) and a few of birds",What was also found?
"south-east of the temple were discovered two altars, in the area of which traces of burning and burnt animal bones were found, and an extensive repository along the fortified wall of the city, which also contained hundreds of valuable offerings of various kinds, similar to those found inside temple",Were there any supplementary discoveries aside from those mentioned?
"south-east of the temple were discovered two altars, in the area of which traces of burning and burnt animal bones were found, and an extensive repository along the fortified wall of the city, which also contained hundreds of valuable offerings of various kinds, similar to those found inside temple",Were there any further findings beyond the ones already discussed?
"south-east of the temple were discovered two altars, in the area of which traces of burning and burnt animal bones were found, and an extensive repository along the fortified wall of the city, which also contained hundreds of valuable offerings of various kinds, similar to those found inside temple",Were there any other artifacts unearthed in addition to the ones mentioned?
"south-east of the temple were discovered two altars, in the area of which traces of burning and burnt animal bones were found, and an extensive repository along the fortified wall of the city, which also contained hundreds of valuable offerings of various kinds, similar to those found inside temple",Were there any extra objects found apart from the ones previously noted?
"south-east of the temple were discovered two altars, in the area of which traces of burning and burnt animal bones were found, and an extensive repository along the fortified wall of the city, which also contained hundreds of valuable offerings of various kinds, similar to those found inside temple",Were there any additional items that came to light during the excavation?
"south-east of the temple were discovered two altars, in the area of which traces of burning and burnt animal bones were found, and an extensive repository along the fortified wall of the city, which also contained hundreds of valuable offerings of various kinds, similar to those found inside temple",Did the excavation reveal any other findings besides those already mentioned?
"south-east of the temple were discovered two altars, in the area of which traces of burning and burnt animal bones were found, and an extensive repository along the fortified wall of the city, which also contained hundreds of valuable offerings of various kinds, similar to those found inside temple",Were there any other uncovered artifacts beyond the ones already discussed?
"south-east of the temple were discovered two altars, in the area of which traces of burning and burnt animal bones were found, and an extensive repository along the fortified wall of the city, which also contained hundreds of valuable offerings of various kinds, similar to those found inside temple",Were there any extra articles present among the discoveries?
"south-east of the temple were discovered two altars, in the area of which traces of burning and burnt animal bones were found, and an extensive repository along the fortified wall of the city, which also contained hundreds of valuable offerings of various kinds, similar to those found inside temple",Did the findings include any other items apart from the ones mentioned?
"south-east of the temple were discovered two altars, in the area of which traces of burning and burnt animal bones were found, and an extensive repository along the fortified wall of the city, which also contained hundreds of valuable offerings of various kinds, similar to those found inside temple",Were there any other objects identified during the excavation?
"south-east of the temple were discovered two altars, in the area of which traces of burning and burnt animal bones were found, and an extensive repository along the fortified wall of the city, which also contained hundreds of valuable offerings of various kinds, similar to those found inside temple",Where there any discoveries?
"in addition to the buildings connected with the religious life of the city, an important public building that came to light is the building complex that was revealed on the northwest side of the middle plateau, on the plateau that develops lower than the archaic temple (building three) to the west, where it was probably located the market of hellenistic times",Were there any supplementary discoveries aside from those mentioned?
"in addition to the buildings connected with the religious life of the city, an important public building that came to light is the building complex that was revealed on the northwest side of the middle plateau, on the plateau that develops lower than the archaic temple (building three) to the west, where it was probably located the market of hellenistic times",Were there any further findings beyond the ones already discussed?
"in addition to the buildings connected with the religious life of the city, an important public building that came to light is the building complex that was revealed on the northwest side of the middle plateau, on the plateau that develops lower than the archaic temple (building three) to the west, where it was probably located the market of hellenistic times",Were there any other artifacts unearthed in addition to the ones mentioned?
"in addition to the buildings connected with the religious life of the city, an important public building that came to light is the building complex that was revealed on the northwest side of the middle plateau, on the plateau that develops lower than the archaic temple (building three) to the west, where it was probably located the market of hellenistic times",Were there any extra objects found apart from the ones previously noted?
"in addition to the buildings connected with the religious life of the city, an important public building that came to light is the building complex that was revealed on the northwest side of the middle plateau, on the plateau that develops lower than the archaic temple (building three) to the west, where it was probably located the market of hellenistic times",Were there any additional items that came to light during the excavation?
"in addition to the buildings connected with the religious life of the city, an important public building that came to light is the building complex that was revealed on the northwest side of the middle plateau, on the plateau that develops lower than the archaic temple (building three) to the west, where it was probably located the market of hellenistic times",Did the excavation reveal any other findings besides those already mentioned?
"in addition to the buildings connected with the religious life of the city, an important public building that came to light is the building complex that was revealed on the northwest side of the middle plateau, on the plateau that develops lower than the archaic temple (building three) to the west, where it was probably located the market of hellenistic times",Were there any other uncovered artifacts beyond the ones already discussed?
"in addition to the buildings connected with the religious life of the city, an important public building that came to light is the building complex that was revealed on the northwest side of the middle plateau, on the plateau that develops lower than the archaic temple (building three) to the west, where it was probably located the market of hellenistic times",Were there any extra articles present among the discoveries?
"in addition to the buildings connected with the religious life of the city, an important public building that came to light is the building complex that was revealed on the northwest side of the middle plateau, on the plateau that develops lower than the archaic temple (building three) to the west, where it was probably located the market of hellenistic times",Did the findings include any other items apart from the ones mentioned?
"in addition to the buildings connected with the religious life of the city, an important public building that came to light is the building complex that was revealed on the northwest side of the middle plateau, on the plateau that develops lower than the archaic temple (building three) to the west, where it was probably located the market of hellenistic times",Were there any other objects identified during the excavation?
"in addition to the buildings connected with the religious life of the city, an important public building that came to light is the building complex that was revealed on the northwest side of the middle plateau, on the plateau that develops lower than the archaic temple (building three) to the west, where it was probably located the market of hellenistic times",Where there any discoveries?
"it is a two-story building of the late classical period, measuring seventeen by ten meters. it presents at least two main architectural phases",What building it was?
the oldest dates back to around the middle of the fourth century,When the oldest dates back?
"the building seems to have suffered some destruction and significant repair during the hellenistic period, probably in the second century",What fate befell the building?
"the building seems to have suffered some destruction and significant repair during the hellenistic period, probably in the second century",What was the outcome for the building?
"the building seems to have suffered some destruction and significant repair during the hellenistic period, probably in the second century",What was the eventual destiny of the building?
"the building seems to have suffered some destruction and significant repair during the hellenistic period, probably in the second century",What was the ultimate result concerning the building?
"the building seems to have suffered some destruction and significant repair during the hellenistic period, probably in the second century",What transpired with regards to the building?
"the building seems to have suffered some destruction and significant repair during the hellenistic period, probably in the second century",What occurred to the building over time?
"the building seems to have suffered some destruction and significant repair during the hellenistic period, probably in the second century",How did the building's situation evolve?
"the building seems to have suffered some destruction and significant repair during the hellenistic period, probably in the second century",What was the building's eventual state?
"the building seems to have suffered some destruction and significant repair during the hellenistic period, probably in the second century",What happened to the condition of the building?
"the building seems to have suffered some destruction and significant repair during the hellenistic period, probably in the second century",How did the building's status change?
"the building seems to have suffered some destruction and significant repair during the hellenistic period, probably in the second century",What seems to had happened to the building?
"a monumental staircase in the middle of the building led to the first floor, where the apparently official apartments were located: room a with the liturgical hearth, the b-c with paved floor (and partly shaped natural rock) probably used for meals, north west room g whose use remains unknown (it survived at a level below the floor) and a series of rooms that must have had wooden floors, above spaces d and h, south of the scale and f-t, north of it",What was the method of access to the upper floor?
"a monumental staircase in the middle of the building led to the first floor, where the apparently official apartments were located: room a with the liturgical hearth, the b-c with paved floor (and partly shaped natural rock) probably used for meals, north west room g whose use remains unknown (it survived at a level below the floor) and a series of rooms that must have had wooden floors, above spaces d and h, south of the scale and f-t, north of it",How was entry to the upper floor achieved?
"a monumental staircase in the middle of the building led to the first floor, where the apparently official apartments were located: room a with the liturgical hearth, the b-c with paved floor (and partly shaped natural rock) probably used for meals, north west room g whose use remains unknown (it survived at a level below the floor) and a series of rooms that must have had wooden floors, above spaces d and h, south of the scale and f-t, north of it",What was the way to reach the upper level?
"a monumental staircase in the middle of the building led to the first floor, where the apparently official apartments were located: room a with the liturgical hearth, the b-c with paved floor (and partly shaped natural rock) probably used for meals, north west room g whose use remains unknown (it survived at a level below the floor) and a series of rooms that must have had wooden floors, above spaces d and h, south of the scale and f-t, north of it",How was the upper storey approached?
"a monumental staircase in the middle of the building led to the first floor, where the apparently official apartments were located: room a with the liturgical hearth, the b-c with paved floor (and partly shaped natural rock) probably used for meals, north west room g whose use remains unknown (it survived at a level below the floor) and a series of rooms that must have had wooden floors, above spaces d and h, south of the scale and f-t, north of it",What was the means of getting to the upper floor?
"a monumental staircase in the middle of the building led to the first floor, where the apparently official apartments were located: room a with the liturgical hearth, the b-c with paved floor (and partly shaped natural rock) probably used for meals, north west room g whose use remains unknown (it survived at a level below the floor) and a series of rooms that must have had wooden floors, above spaces d and h, south of the scale and f-t, north of it",What was the route to access the upper story?
"a monumental staircase in the middle of the building led to the first floor, where the apparently official apartments were located: room a with the liturgical hearth, the b-c with paved floor (and partly shaped natural rock) probably used for meals, north west room g whose use remains unknown (it survived at a level below the floor) and a series of rooms that must have had wooden floors, above spaces d and h, south of the scale and f-t, north of it",How did one reach the upper level?
"a monumental staircase in the middle of the building led to the first floor, where the apparently official apartments were located: room a with the liturgical hearth, the b-c with paved floor (and partly shaped natural rock) probably used for meals, north west room g whose use remains unknown (it survived at a level below the floor) and a series of rooms that must have had wooden floors, above spaces d and h, south of the scale and f-t, north of it",What was the path to get to the upper floor?
"a monumental staircase in the middle of the building led to the first floor, where the apparently official apartments were located: room a with the liturgical hearth, the b-c with paved floor (and partly shaped natural rock) probably used for meals, north west room g whose use remains unknown (it survived at a level below the floor) and a series of rooms that must have had wooden floors, above spaces d and h, south of the scale and f-t, north of it",How was the upper story of the building reached?
"a monumental staircase in the middle of the building led to the first floor, where the apparently official apartments were located: room a with the liturgical hearth, the b-c with paved floor (and partly shaped natural rock) probably used for meals, north west room g whose use remains unknown (it survived at a level below the floor) and a series of rooms that must have had wooden floors, above spaces d and h, south of the scale and f-t, north of it",What was the mode of access to the upper storey?
"a monumental staircase in the middle of the building led to the first floor, where the apparently official apartments were located: room a with the liturgical hearth, the b-c with paved floor (and partly shaped natural rock) probably used for meals, north west room g whose use remains unknown (it survived at a level below the floor) and a series of rooms that must have had wooden floors, above spaces d and h, south of the scale and f-t, north of it",To where the straicase led?
room f seems to have been the place where most of the utensils and objects related to the use of the building were kept,What function did room F serve?
room f seems to have been the place where most of the utensils and objects related to the use of the building were kept,What was the intended use of room F?
room f seems to have been the place where most of the utensils and objects related to the use of the building were kept,What was the designated purpose of room F?
room f seems to have been the place where most of the utensils and objects related to the use of the building were kept,For what reason was room F constructed?
room f seems to have been the place where most of the utensils and objects related to the use of the building were kept,What was the role of room F within the building?
room f seems to have been the place where most of the utensils and objects related to the use of the building were kept,What was the specific aim of room F?
room f seems to have been the place where most of the utensils and objects related to the use of the building were kept,What was the primary function of room F?
room f seems to have been the place where most of the utensils and objects related to the use of the building were kept,What was the intended role of the space known as room F?
room f seems to have been the place where most of the utensils and objects related to the use of the building were kept,What was the purpose behind the creation of room F?
room f seems to have been the place where most of the utensils and objects related to the use of the building were kept,What was the designed function of room F within the structure?
room f seems to have been the place where most of the utensils and objects related to the use of the building were kept,What seems to be this room?
this is also where the food preparation must have taken place,What was the intended use of this location?
this is also where the food preparation must have taken place,What purpose did this place serve?
this is also where the food preparation must have taken place,For what reason was this area designated?
this is also where the food preparation must have taken place,What role did this place play?
this is also where the food preparation must have taken place,What was the function of this spot?
this is also where the food preparation must have taken place,Why was this place created?
this is also where the food preparation must have taken place,What was the significance of this area?
this is also where the food preparation must have taken place,What was the specific aim of establishing this place?
this is also where the food preparation must have taken place,What was the intended function of this location?
this is also where the food preparation must have taken place,What was the purpose behind designating this place?
this is also where the food preparation must have taken place,Did food preparation took place?
"after all, as we mentioned above, room f communicated with the upper floor, where the official rooms of the public building must have been, by the internal staircase",With what did room communicated?
the small underground room h was certainly a storeroom,How was room H utilized?
the small underground room h was certainly a storeroom,What function did room H serve?
the small underground room h was certainly a storeroom,What was the intended purpose of room H?
the small underground room h was certainly a storeroom,For what reason was room H designed?
the small underground room h was certainly a storeroom,What role did room H play within the structure?
the small underground room h was certainly a storeroom,What was the primary use of room H?
the small underground room h was certainly a storeroom,How was room H employed within the building?
the small underground room h was certainly a storeroom,What was the designated function of room H?
the small underground room h was certainly a storeroom,What was the intended role of the space known as room H?
the small underground room h was certainly a storeroom,What purpose was served by room H in the layout?
the small underground room h was certainly a storeroom,Which one was the storeroom?
access here must have been through a hatch in the wooden floor of the first floor,What was the method of access to it?
access here must have been through a hatch in the wooden floor of the first floor,How was entry achieved to this place?
access here must have been through a hatch in the wooden floor of the first floor,What was the means of reaching this location?
access here must have been through a hatch in the wooden floor of the first floor,How could one get to this area?
access here must have been through a hatch in the wooden floor of the first floor,What route was taken to access it?
access here must have been through a hatch in the wooden floor of the first floor,What was the pathway to reach this spot?
access here must have been through a hatch in the wooden floor of the first floor,How was this place accessed within the setting?
access here must have been through a hatch in the wooden floor of the first floor,What was the mode of entry to this space?
access here must have been through a hatch in the wooden floor of the first floor,How was this location reached within the layout?
access here must have been through a hatch in the wooden floor of the first floor,What was the way in which one could access this point?
access here must have been through a hatch in the wooden floor of the first floor,How the access was done?
"room d seems to have been a storage room as well, and in the first phase it may have communicated with room h, with an opening in its ne corner",What function did room D serve?
"room d seems to have been a storage room as well, and in the first phase it may have communicated with room h, with an opening in its ne corner",What was the intended use of room D?
"room d seems to have been a storage room as well, and in the first phase it may have communicated with room h, with an opening in its ne corner",For what purpose was room D designed?
"room d seems to have been a storage room as well, and in the first phase it may have communicated with room h, with an opening in its ne corner",What role did room D play within the building?
"room d seems to have been a storage room as well, and in the first phase it may have communicated with room h, with an opening in its ne corner",What was the primary aim of room D?
"room d seems to have been a storage room as well, and in the first phase it may have communicated with room h, with an opening in its ne corner",How was room D employed within the structure?
"room d seems to have been a storage room as well, and in the first phase it may have communicated with room h, with an opening in its ne corner",What was the designated purpose of room D?
"room d seems to have been a storage room as well, and in the first phase it may have communicated with room h, with an opening in its ne corner",What was the intended function of the space known as room D?
"room d seems to have been a storage room as well, and in the first phase it may have communicated with room h, with an opening in its ne corner",What purpose was served by room D in the layout?
"room d seems to have been a storage room as well, and in the first phase it may have communicated with room h, with an opening in its ne corner",Why was room D created in the building?
"room d seems to have been a storage room as well, and in the first phase it may have communicated with room h, with an opening in its ne corner",Which one was a storage room as well?
"it is not excluded that d also communicated with room e and the staircase, if we accept that wall t thirteen is a later addition when it was decided after the first disaster that the building suffered to fill the room with soil that contained almost all its contents room f",With what the room D communicated with the room E?
"the south east hall was paved, while a hearth was found in the northeast",What happened to south east hall?
"we assume that it is a building of a public, perhaps even commercial character, while the construction in the middle of the north-eastern room seems to have had a religious purpose",What was the designated purpose of this building?
"we assume that it is a building of a public, perhaps even commercial character, while the construction in the middle of the north-eastern room seems to have had a religious purpose",What function did this building serve?
"we assume that it is a building of a public, perhaps even commercial character, while the construction in the middle of the north-eastern room seems to have had a religious purpose",For what reason was this structure constructed?
"we assume that it is a building of a public, perhaps even commercial character, while the construction in the middle of the north-eastern room seems to have had a religious purpose",What role did this building play?
"we assume that it is a building of a public, perhaps even commercial character, while the construction in the middle of the north-eastern room seems to have had a religious purpose",What was the primary use of this building?
"we assume that it is a building of a public, perhaps even commercial character, while the construction in the middle of the north-eastern room seems to have had a religious purpose",How was this building utilized within its context?
"we assume that it is a building of a public, perhaps even commercial character, while the construction in the middle of the north-eastern room seems to have had a religious purpose",What was the intended function of this edifice?
"we assume that it is a building of a public, perhaps even commercial character, while the construction in the middle of the north-eastern room seems to have had a religious purpose",What purpose was served by this building?
"we assume that it is a building of a public, perhaps even commercial character, while the construction in the middle of the north-eastern room seems to have had a religious purpose",Why was this building established in its location?
"we assume that it is a building of a public, perhaps even commercial character, while the construction in the middle of the north-eastern room seems to have had a religious purpose",What was the specific aim behind the creation of this building?
"we assume that it is a building of a public, perhaps even commercial character, while the construction in the middle of the north-eastern room seems to have had a religious purpose",Do we know the use of this building?
"perhaps it is the sacred hearth, where the goddess hestia is worshiped and burns an unquenchable flame of the city",What hearth it is?
"the findings allow the building to be dated to the classical period, although the presence of numerous finds from the hellenistic period in the immediate embankments of the building probably indicate the use of the building during hellenistic times as well",What can be inferred from the discovered artifacts?
"the findings allow the building to be dated to the classical period, although the presence of numerous finds from the hellenistic period in the immediate embankments of the building probably indicate the use of the building during hellenistic times as well",What conclusions can be drawn from the findings?
"the findings allow the building to be dated to the classical period, although the presence of numerous finds from the hellenistic period in the immediate embankments of the building probably indicate the use of the building during hellenistic times as well",What can the uncovered objects help us deduce?
"the findings allow the building to be dated to the classical period, although the presence of numerous finds from the hellenistic period in the immediate embankments of the building probably indicate the use of the building during hellenistic times as well",What insights do the findings provide for estimation?
"the findings allow the building to be dated to the classical period, although the presence of numerous finds from the hellenistic period in the immediate embankments of the building probably indicate the use of the building during hellenistic times as well",What kind of assumptions can be made based on the discoveries?
"the findings allow the building to be dated to the classical period, although the presence of numerous finds from the hellenistic period in the immediate embankments of the building probably indicate the use of the building during hellenistic times as well",How do the findings contribute to estimating certain aspects?
"the findings allow the building to be dated to the classical period, although the presence of numerous finds from the hellenistic period in the immediate embankments of the building probably indicate the use of the building during hellenistic times as well",What do the artifacts allow us to approximate?
"the findings allow the building to be dated to the classical period, although the presence of numerous finds from the hellenistic period in the immediate embankments of the building probably indicate the use of the building during hellenistic times as well",What can be speculated based on the identified items?
"the findings allow the building to be dated to the classical period, although the presence of numerous finds from the hellenistic period in the immediate embankments of the building probably indicate the use of the building during hellenistic times as well",What can we gauge from the revealed discoveries?
"the findings allow the building to be dated to the classical period, although the presence of numerous finds from the hellenistic period in the immediate embankments of the building probably indicate the use of the building during hellenistic times as well",How do the findings enable us to make educated estimates?
"the findings allow the building to be dated to the classical period, although the presence of numerous finds from the hellenistic period in the immediate embankments of the building probably indicate the use of the building during hellenistic times as well",When the building is dated?
"the possible public character of building five combined with the findings of the adjacent monumental analemma four do not rule out the version that in this area was the sought-after agora of the ancient city of kythnos and the building is probably identified with its rectory, while it is not excluded that it is identified with market law",Which was the use of the building?
the three-aisled early christian basilica is the latest building of a religious nature in the ancient city until today,It is the latest building?
it has an almost square plan from which the arch of the sanctuary protrudes to the east,What did it had?
"the external entrances open on the side walls of the narthex, since the ground was elevated to the west",Where did the entrances opened?
the unevenness of the floors of the rooms is due to the morphology of the ground.each aisle communicated directly with the narthex,Why is there unevenness on the floors?
"three main phases can be distinguished from the monument complex construction, the one where the separation of the aisles is done with alternating pessos and columns is noted, as well as the last one where the transoms are sealed leaving small passages between the aisles",How many phases can be distinguished?
"marble members were used as spolia in the building, such as facings of ancient monuments, pedestals, propellers of an ionic colonnade probably of archaic times and a table in two fragments with a lion's foot finial",What marble members were used for?
"two fragmentarily preserved inscriptions were found,the one dating from the beginning of the 4th century bc, the other engraved on a tabula ansata honoring the emperor vespasian or domitian of the 1st century ad",What was found?
synthron with episcopal throne is formed in the arch,Where the throne was formed?
"important items were also discovered, such as a marble colonnade, a circular marble table, a part of an iron cross, a bronze candelabrum with a hanging chain from the second half of the 6th century early 7th century and lead beaker with incised decoration and tall foot",What was also discovered?
"under the disturbed floor of the apse, a layer of broken early byzantine vessels came to light, such as short pots, late roman amphora 2 and mainly a large number of fragments from the body of cylindrical amphorae of the late roman amphora 1 type, dating mainly to the 6th century and the beginning of the 7thunder the layer on the longitudinal axis of the temple, a small rectangular excavation in the natural rock was revealed in the form of a case with a covering plate",What came to light?
"the basilica was in operation at least until the 7th century, without excluding its later use.",Until when it was in operation?
"at the top of the acropolis, an important sanctuary occupies a dominant position, which, as surface finds show, was in use from the end of the 8th bc up to the 1st ad",What is at the top of the acropolis?
"after excavation in the summer of 2021, the remains of at least 4 buildings came to light (buildings three to six)",What was found after excavation?
the type of finds led to the safe conclusion that the sanctuary was dedicated to the worship of both demeter and kore,What the type of finds led to?
"during the excavation, hundreds of clay archaic-hellenistic figurines were found many of them intact, just as many archaic-roman lamps and mixed ritual vessels",What was found during the excavations?
"the offerings also include some bronze, silver, bone and glass jewelry, marble vessels, and a marble hand that probably holds a torch",What does the offerings include?
several vessels of probably roman age from the interior of the temple (building four) are identified as ritual as they have inscriptions carved before firing and are dedications by women to demeter and kori,Are the vessels identified?
"in the sanctuary, in 2021, four buildings and a retaining wall in the east connecting buildings three and four were revealed",What was revealed?
